run_name,start_time,model,hypothesis,split,recall_at_risk,precision_at_risk,f1_at_risk,pr_auc,accuracy,best_f1_threshold,recall_at_best_thr,precision_at_best_thr,f1_at_best_thr,tn,fp,fn,tp,test_recall,test_precision,test_f1,test_pr_auc,test_recall_no_ccc,test_f1_no_ccc,random_state,early_window_fraction,threshold,n_features_raw,est_class_weight,est_min_samples_leaf,est_n_estimators,est_max_depth,est_scale_pos_weight,est_learning_rate
baseline_dummy_majority,2026-07-29 13:10,DummyClassifier,,"train=2013B+2013J, val=2014B",0.0,0.0,0.0,0.4572,0.5428,,,,,3358.0,0.0,2828.0,0.0,,,,,,,42,0.25,,18,,,,,,
baseline_logistic_regression,2026-07-29 13:10,LogisticRegression,,"train=2013B+2013J, val=2014B",0.5654,0.8213,0.6697,0.8031,0.7451,,,,,3010.0,348.0,1229.0,1599.0,,,,,,,42,0.25,,18,,,,,,
E1_logreg_balanced,2026-07-29 13:21,LogisticRegression,does class weighting raise baseline recall?,"train=2013B+2013J, val=2014B",0.6393,0.7571,0.6933,0.8027,0.7414,0.3651,0.7599,0.6724,0.7135,2778.0,580.0,1020.0,1808.0,,,,,,,42,,,,balanced,,,,,
E2_random_forest,2026-07-29 13:21,RandomForestClassifier,do non-linear interactions help?,"train=2013B+2013J, val=2014B",0.756,0.6562,0.7026,0.7879,0.7074,0.426,0.825,0.6236,0.7103,2238.0,1120.0,690.0,2138.0,,,,,,,42,,,,balanced_subsample,5,300,None,,
E3_random_forest_deep,2026-07-29 13:21,RandomForestClassifier,does an unconstrained forest overfit?,"train=2013B+2013J, val=2014B",0.6934,0.7024,0.6979,0.7863,0.7255,0.36,0.8405,0.6156,0.7107,2527.0,831.0,867.0,1961.0,,,,,,,42,,,,balanced_subsample,1,300,None,,
E4_xgboost,2026-07-29 13:21,XGBClassifier,does gradient boosting beat the forest?,"train=2013B+2013J, val=2014B",0.6984,0.7164,0.7073,0.8095,0.7357,0.3269,0.8391,0.6251,0.7165,2576.0,782.0,853.0,1975.0,,,,,,,42,,,,,,400,4,None,0.05
E5_xgboost_weighted,2026-07-29 13:21,XGBClassifier,boosting + class weighting for recall,"train=2013B+2013J, val=2014B",0.7557,0.6705,0.7106,0.8088,0.7186,0.4401,0.8076,0.6432,0.7161,2308.0,1050.0,691.0,2137.0,,,,,,,42,,,,,,400,4,1.3863684321586833,0.05
E1_logreg_balanced,2026-07-29 13:21,LogisticRegression,does class weighting raise baseline recall?,"train=2013B+2013J, val=2014B",0.6393,0.7571,0.6933,0.8027,0.7414,0.3651,0.7599,0.6724,0.7135,2778.0,580.0,1020.0,1808.0,,,,,,,42,,,,balanced,,,,,
E2_random_forest,2026-07-29 13:21,RandomForestClassifier,do non-linear interactions help?,"train=2013B+2013J, val=2014B",0.756,0.6562,0.7026,0.7879,0.7074,0.426,0.825,0.6236,0.7103,2238.0,1120.0,690.0,2138.0,,,,,,,42,,,,balanced_subsample,5,300,None,,
E3_random_forest_deep,2026-07-29 13:21,RandomForestClassifier,does an unconstrained forest overfit?,"train=2013B+2013J, val=2014B",0.6934,0.7024,0.6979,0.7863,0.7255,0.36,0.8405,0.6156,0.7107,2527.0,831.0,867.0,1961.0,,,,,,,42,,,,balanced_subsample,1,300,None,,
E4_xgboost,2026-07-29 13:21,XGBClassifier,does gradient boosting beat the forest?,"train=2013B+2013J, val=2014B",0.6984,0.7164,0.7073,0.8095,0.7357,0.3269,0.8391,0.6251,0.7165,2576.0,782.0,853.0,1975.0,,,,,,,42,,,,,,400,4,None,0.05
